Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [GPa],Q11 [GPa],Q22 [GPa],Q12 [GPa],Q66 [GPa],Q16 [GPa],Q26 [GPa],CTE_x [1/K],CTE_y [1/K],Available dimensions
Core - Composite,WBK # N3 - Solid: Asp Veneer,570.3,0.33,9.30792,10.4454,10.4454,3.44699,3.49922,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N5 - Alternating: Fir/Asp,531.63,0.33,11.54872,12.9601,12.9601,4.27682,4.34162,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N8 - Double Barrel: Fir/Asp,532.78,0.33,11.54872,12.9601,12.9601,4.27682,4.34162,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N2 - Solid: Asp,498.79,0.33,9.30792,10.4454,10.4454,3.44699,3.49922,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N4 - Solid: Pal,321,0.33,5.03317,5.64827,5.64827,1.86393,1.89217,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N13 - Offset Stringers (1x): Asp/Map,546.51,0.33,10.85924,12.1863,12.1863,4.02149,4.08242,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N14 - Alternating Asp/Pal,416.39,0.33,11.54872,12.9601,12.9601,4.27682,4.34162,0,0,4e-06,3.5e-05,
Core - Foam,Isosport: IsoCore 150,150,0.33,0.185,0.207609,0.207609,0.0685108,0.0695489,0,0,7e-05,7e-05,
Core - Foam,Isosport: IsoCore 250,250,0.33,0.3,0.336663,0.336663,0.111099,0.112782,0,0,7e-05,7e-05,
Core - Foam,Armacell: Struct GRX 100,100,0.33,0.12,0.134665,0.134665,0.0444395,0.0451128,0,0,7e-05,7e-05,
Core - Foam,Armacell: Struct GRX 115,115,0.33,0.14,0.157109,0.157109,0.051846,0.0526316,0,0,7e-05,7e-05,
Core - Foam,Armacell: Struct GRX 150,150,0.33,0.185,0.207609,0.207609,0.0685108,0.0695489,0,0,7e-05,7e-05,
Core - Foam,Armacell: Struct GRX 250,250,0.33,0.3,0.336663,0.336663,0.111099,0.112782,0,0,7e-05,7e-05,
Steel,CDW: Steel Edge,8050,0.29,207,226.007,226.007,65.5421,80.2326,0,0,1.15e-05,1.15e-05,
Steel,Freidrich: Steel Edge,8050,0.29,207,226.007,226.007,65.5421,80.2326,0,0,1.15e-05,1.15e-05,
Titanal,AMAG: Titanal,2810,0.33,71.7,80.4623,80.4623,26.5526,26.9549,0,0,2.36e-05,2.36e-05,
Sintered base material,Crown: DS 4001,935,0.46,0.9,1.14155,1.14155,0.525114,0.308219,0,0,0.00015,0.00015,
Extruded base material,Crown: F7501,935,0.46,0.7,0.887874,0.887874,0.408422,0.239726,0,0,0.00015,0.00015,
Sintered base material,CPS: P-Tex 4504,935,0.46,0.9,1.14155,1.14155,0.525114,0.308219,0,0,0.00015,0.00015,{t:0.5; w:211.0};{t:0.5; w:230.0};{t:0.5; w:250.0};{t:0.5; w:260.0};{t:0.5; w:290.0};{t:0.6; w:211.0};{t:0.6; w:230.0};{t:0.6; w:240.0}
Sintered base material,CPS: P-Tex 3000,935,0.46,0.9,1.14155,1.14155,0.525114,0.308219,0,0,0.00015,0.00015,{t:1.1; w:320.0};{t:1.1; w:340.0};{t:1.1; w:370.0};{t:1.1; w:380.0};{t:1.2; w:170.0};{t:1.2; w:320.0};{t:1.2; w:330.0};{t:1.2; w:335.0};{t:1.2; w:340.0};{t:1.2; w:355.0};{t:1.3; w:240.0};{t:1.3; w:260.0};{t:1.3; w:280.0};{t:1.3; w:290.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:330.0};{t:1.3; w:340.0};{t:1.3; w:380.0};{t:1.7; w:260.0};{t:1.7; w:280.0};{t:1.7; w:290.0};{t:1.7; w:300.0};{t:1.7; w:320.0};{t:1.7; w:330.0};{t:1.7; w:340.0};{t:1.7; w:360.0};{t:2.0; w:340.0}
